NodeId,Time,Size
7,51.712381,1
0,51.714149,1
10,51.996986,1
10,52.498450,2
9,53.811147,1
10,54.240425,3
15,54.340520,1
10,55.742830,4
11,58.489919,1
12,61.202293,1
0,61.292400,2
3,61.332716,1
7,61.561444,2
10,62.65360,5
0,62.76391,3
12,62.228264,2
12,62.737322,3
0,63.233683,4
19,63.333059,1
0,64.876535,5
17,64.881429,1
18,64.890488,1
4,66.89919,1
12,66.228264,4
8,66.478550,1
4,66.503839,2
9,66.625963,2
11,66.838981,2
0,66.990544,6
13,68.270165,1
6,68.384573,1
10,68.452511,6
3,68.562535,2
11,68.588981,3
2,69.110554,1
6,69.521229,2
13,69.760586,2
3,69.898827,3
19,72.651929,2
3,73.661108,4
8,73.897486,2
10,74.240425,7
4,74.376054,3
11,74.588981,4
9,76.319951,3
15,77.20330,2
4,77.646816,4
9,77.718044,4
2,77.818044,2
11,77.991695,5
2,79.812084,3
12,80.786169,5
18,81.326852,2
4,81.359334,5
9,81.811147,5
14,82.102176,1
4,82.103152,6
9,82.322352,6
5,82.339268,1
2,83.793152,4
3,84.2613,5
2,84.66466,5
9,87.712084,7
2,88.562084,6
8,94.929418,3
7,97.811444,3
0,99.244189,7
7,99.462382,4
15,100.584469,3
17,100.596754,2
7,101.820650,5
8,102.71964,4
9,102.616764,8
7,103.212381,6
9,103.570938,9
1,103.597721,1
0,103.829804,8
1,103.841876,2
7,103.962381,7
2,106.549779,7
11,110.99542,6
2,111.221609,8
15,114.344238,4
10,118.490425,8
3,122.883497,6
3,123.830241,7
10,123.990425,9
13,126.119070,3
9,129.823379,10
10,131.740425,10
10,132.155720,11
19,132.158641,3
13,132.273278,4
13,132.281590,5
19,132.492636,4
19,134.4160,5
1,135.683552,3
3,136.551198,8
17,138.775421,3
4,140.517657,7
11,140.838981,7
10,141.740425,12
4,146.848803,8
15,158.248521,5
9,159.812631,11
8,160.877371,5
17,163.813930,4
17,163.839290,5
11,174.349267,8
11,174.751455,9
4,178.806629,9
14,182.98495,2
13,185.920223,6
0,188.530472,9
7,189.243938,8
7,199.733836,9
4,210.767567,10
8,210.866943,6
18,211.561731,3
0,214.24613,10
7,215.311444,10
9,216.18678,12
0,218.897652,11
19,219.999558,6
18,220.21812,4
9,220.243716,13
1,222.898485,4
1,223.128938,5
1,226.198146,6
8,227.127372,7
10,232.454298,13
18,232.550341,5
19,234.748241,7
14,235.149429,3
4,235.198385,11
11,235.997105,10
19,236.52444,8
9,236.61147,14
9,237.816552,15
2,237.819540,9
11,238.338981,11
2,239.714746,10
0,240.753165,12
8,240.851521,8
7,241.213518,11
8,241.226434,9
11,241.989919,12
1,244.350218,7
11,244.492731,13
6,267.763669,3
13,267.859648,7
6,270.115147,4
3,272.491362,9
14,273.317887,4
13,273.510586,8
1,276.105091,8
10,277.109949,14
7,277.311444,12
6,305.536232,5
13,305.760586,9
