NodeId,Time,Size
10,51.420603,1
7,51.522081,1
0,51.523389,1
12,52.76840,1
0,52.189350,2
3,52.189350,1
13,52.189351,1
6,52.189351,1
2,52.189351,1
8,52.189351,1
16,52.189351,1
10,52.189351,2
15,52.189351,1
12,52.562826,2
10,53.27882,3
10,53.164042,4
7,53.240161,2
0,53.240162,3
13,53.240162,2
2,53.240162,2
6,53.240162,2
0,53.372081,4
9,53.421114,1
12,53.487569,3
2,53.487569,3
3,53.487569,2
8,53.487569,2
13,53.487569,3
16,53.487570,2
10,53.685100,5
12,53.880233,4
0,53.881202,5
9,53.890203,2
12,54.312826,5
9,55.73129,3
5,55.73780,1
19,55.173129,1
11,55.798898,1
12,55.821363,6
19,55.942311,2
3,55.957133,3
0,55.964414,6
11,56.208829,2
5,56.314414,2
4,56.451423,1
2,57.73949,4
8,57.101547,3
16,57.171401,3
8,57.683737,4
19,57.820995,3
10,57.978662,6
5,58.237173,3
5,59.728411,4
7,59.871144,3
11,60.48898,3
4,60.558635,2
11,62.48898,4
12,62.62826,7
6,62.80785,3
6,62.80785,4
17,62.80785,1
17,62.80785,2
13,62.80785,4
13,62.80785,5
2,62.189394,5
0,62.189394,7
8,62.189394,5
8,62.189394,6
7,62.189394,4
7,62.189394,5
3,62.189394,4
2,62.379327,6
1,62.379327,1
12,62.379327,8
3,62.379328,5
16,62.441029,4
15,62.441029,2
18,62.441029,1
9,62.441029,4
5,62.511386,5
17,62.511386,3
15,62.511386,3
19,62.511386,4
13,62.511386,6
16,62.511386,5
4,62.555275,3
4,62.555275,4
15,62.555275,4
15,62.555275,5
17,62.555275,4
17,62.555275,5
16,62.555275,6
16,62.555275,7
19,62.555275,5
19,62.555275,6
14,62.555275,1
14,62.555275,2
4,62.573623,5
15,62.748810,6
9,62.748810,5
14,62.748810,3
18,62.748810,2
5,62.748811,6
19,62.748811,7
17,62.790354,6
4,62.790354,6
4,62.790354,7
5,62.790354,7
5,62.790354,8
11,62.790354,5
1,62.846740,2
14,63.204921,4
16,63.204921,8
18,63.204921,3
18,63.204921,4
15,63.204921,7
5,63.204921,9
7,63.247179,6
3,63.488596,6
19,63.488596,8
19,63.488596,9
13,63.488596,7
15,63.488596,8
15,63.488596,9
12,63.488596,9
16,63.488597,9
4,63.488597,8
4,63.488597,9
5,66.332680,10
9,67.322051,6
4,67.618448,10
0,67.620915,8
10,67.649873,7
9,67.822051,7
14,67.831842,5
2,68.213696,7
9,69.684903,8
19,71.106527,10
10,71.325621,8
9,72.34359,9
16,72.34359,10
18,72.34359,5
15,72.34359,10
3,72.34360,7
18,72.381328,6
15,72.441037,11
9,72.441037,10
0,72.441037,9
19,72.441037,11
14,72.441037,6
17,72.508469,7
17,72.508469,8
13,72.508469,8
0,72.508469,10
19,72.508469,12
11,72.508469,6
11,72.508469,7
13,72.555284,9
13,72.555284,10
4,72.555284,11
16,72.555284,11
0,72.555284,11
0,72.555284,12
8,72.846748,7
1,72.846748,3
12,72.846748,10
3,72.846749,8
10,72.846749,9
17,73.27899,9
18,73.27899,7
18,73.27899,8
14,73.203947,7
18,73.203947,9
3,73.203947,9
3,73.203947,10
4,73.486604,12
17,73.486604,10
15,73.486604,12
13,73.486604,11
7,73.486604,7
18,73.486604,10
5,73.486604,11
5,73.486604,12
16,73.486605,12
3,73.486605,11
3,74.377774,12
1,74.555358,4
12,75.713763,11
12,76.463764,12
0,77.863088,13
0,77.888822,14
9,79.831202,11
1,82.38359,5
7,82.38360,8
6,82.82794,5
8,82.187420,8
2,82.187420,8
3,82.374753,13
9,82.374753,12
15,82.374753,13
8,82.374753,9
18,82.374754,11
2,82.374754,9
14,82.374754,8
7,82.374754,9
17,82.374754,11
