NodeId,DetectionTime,SelfishNodeId
10,51.664042,+0
10,53.414042,+13
0,53.622081,+13
9,53.671114,+15
12,53.812826,+15
10,53.914042,+6
12,54.562826,+13
19,55.422052,+13
11,56.48898,+17
5,56.565670,+15
0,57.874857,+10
10,57.978662,+2
12,58.62826,+3
12,58.562826,+6
16,59.171738,+3
11,60.298898,+6
7,61.121144,+12
0,62.241298,+12
11,62.298898,+13
12,62.312826,+7
4,66.54746,+17
4,69.398878,+5
9,69.921114,+3
7,71.205876,+3
8,71.424950,+2
8,76.63112,+1
4,76.299835,+13
19,78.313113,+3
13,79.600964,+17
12,81.812826,+8
19,82.71200,+17
3,82.187420,+6
0,83.18899,+3
1,83.787929,+15
4,84.51717,+15
9,87.421114,+17
19,92.189419,+6
1,96.375834,+13
8,103.563254,+17
1,103.892929,+17
11,109.798898,+15
18,111.799184,+9
18,112.300000,+12
9,113.171114,+19
14,113.205982,+3
10,113.986257,+17
4,114.60726,+12
7,116.307566,+15
18,118.660577,+15
10,119.914042,+4
9,120.135947,+12
7,120.315521,+17
9,120.549185,+13
9,121.421114,+10
2,121.689113,+10
17,122.31367,+3
19,123.712438,+12
10,123.965604,+19
4,126.63776,+10
11,129.102802,+9
17,133.205017,+12
7,141.363258,+9
10,143.664042,+15
3,143.934571,+15
15,152.511539,+10
2,153.20943,+12
13,157.350964,+15
4,159.799184,+6
6,160.106043,+15
17,162.512547,+10
10,165.414042,+12
14,173.438122,+6
11,179.798898,+10
17,182.504556,+6
19,201.145687,+14
5,202.565941,+6
16,209.414979,+1
11,211.798898,+0
8,212.31402,+6
8,212.374805,+13
18,212.505565,+10
8,214.549835,+9
18,217.245711,+6
9,222.31437,+6
6,222.508574,+10
7,223.371144,+6
10,223.414042,-13
19,223.690533,+4
18,225.565692,+19
2,225.872081,+19
11,226.48898,-17
0,229.145013,+11
5,229.876917,+11
16,230.886205,+13
0,236.446797,-3
11,238.48898,+3
4,239.398878,-5
7,242.80872,+10
0,242.80872,+3
11,242.298898,-13
4,246.299835,-13
13,249.600964,-17
1,252.34455,+6
10,253.18977,+10
8,253.787643,+3
0,256.701855,+17
9,257.421114,-17
19,262.71200,-17
16,262.549366,+15
6,263.23978,+6
5,266.565670,-15
16,269.171738,-3
12,272.312826,-7
10,272.378822,+13
6,273.246257,+4
10,273.414042,-13
19,275.422052,-13
7,280.315521,-17
7,281.371144,+17
1,282.83872,+3
12,282.764576,+7
7,283.121144,+13
8,283.563254,-17
0,283.622081,-13
1,283.892929,-17
0,289.122778,+13
8,290.848849,-13
7,291.121144,-12
4,292.79872,+5
19,292.553318,+13
10,292.553318,+13
13,292.836810,+4
19,293.21004,+10
10,293.414042,-13
12,294.562826,-13
19,295.422052,-13
7,295.621144,+12
1,296.377321,-13
4,299.398878,-5
0,299.622732,+15
9,300.549185,-13
17,302.34455,+0
4,302.81872,+3
16,302.387433,+3
13,303.18003,+6
16,309.171738,-3
11,309.798898,-15
18,312.300000,-12
9,313.171114,-19
9,313.671114,-15
19,313.712438,-12
4,314.51717,-15
4,316.64305,-17
7,316.307566,-15
12,318.62826,-3
9,319.921114,-3
1,323.787929,-15
12,323.812826,-15
4,324.60726,-12
17,325.620259,-12
13,327.350964,-15
2,327.935042,-12
6,330.106043,-15
0,332.256748,-12
0,336.446797,-3
10,345.414042,-12
19,348.313113,-3
9,350.140697,-12
12,352.312826,-7
10,353.965604,-19
4,359.799184,-6
14,359.897957,-3
7,361.205876,-3
3,363.934571,-15
10,363.986257,-17
18,368.668429,-15
10,371.664042,-0
11,371.798898,-0
10,373.664042,-15
17,387.885281,-0
0,389.122778,-13
7,391.371144,-17
18,395.565692,-19
2,395.872081,-19
3,395.957133,-6
0,397.874857,-10
16,399.414979,-1
