NodeId,Time,Size
0,52.189350,1
3,52.189350,1
13,52.189351,1
6,52.189351,1
2,52.189351,1
8,52.189351,1
16,52.189351,1
10,52.189351,1
15,52.189351,1
10,53.27882,2
7,53.240161,1
0,53.240162,2
13,53.240162,2
2,53.240162,2
6,53.240162,2
12,53.487569,1
2,53.487569,3
3,53.487569,2
8,53.487569,2
13,53.487569,3
16,53.487570,2
6,62.80785,3
6,62.80785,4
17,62.80785,1
17,62.80785,2
13,62.80785,4
13,62.80785,5
19,62.80785,1
19,62.80785,2
2,62.189394,4
10,62.189394,3
10,62.189394,4
0,62.189394,3
8,62.189394,3
8,62.189394,4
7,62.189394,2
7,62.189394,3
3,62.189394,3
3,62.189394,4
2,62.379327,5
1,62.379327,1
12,62.379327,2
3,62.379328,5
16,62.441029,3
15,62.441029,2
12,62.441029,3
18,62.441029,1
9,62.441029,1
5,62.511386,1
17,62.511386,3
15,62.511386,3
19,62.511386,3
13,62.511386,6
16,62.511386,4
4,62.555275,1
4,62.555275,2
15,62.555275,4
15,62.555275,5
17,62.555275,4
17,62.555275,5
16,62.555275,5
16,62.555275,6
19,62.555275,4
19,62.555275,5
14,62.555275,1
14,62.555275,2
15,62.748810,6
9,62.748810,2
14,62.748810,3
18,62.748810,2
5,62.748811,2
19,62.748811,6
17,62.790354,6
4,62.790354,3
4,62.790354,4
5,62.790354,3
5,62.790354,4
11,62.790354,1
11,62.790354,2
12,62.846739,4
1,62.846740,2
14,63.204921,4
16,63.204921,7
18,63.204921,3
18,63.204921,4
15,63.204921,7
5,63.204921,5
5,63.204921,6
7,63.247179,4
3,63.488596,6
19,63.488596,7
19,63.488596,8
19,63.488596,9
13,63.488596,7
15,63.488596,8
15,63.488596,9
12,63.488596,5
12,63.488596,6
16,63.488597,8
4,63.488597,5
4,63.488597,6
9,72.34359,3
16,72.34359,9
18,72.34359,5
15,72.34359,10
3,72.34360,7
10,72.381328,5
18,72.381328,6
15,72.441037,11
8,72.441037,5
9,72.441037,4
0,72.441037,4
19,72.441037,10
14,72.441037,5
17,72.508469,7
17,72.508469,8
13,72.508469,8
0,72.508469,5
16,72.508469,10
19,72.508469,11
9,72.508469,5
11,72.508469,3
11,72.508469,4
13,72.555284,9
13,72.555284,10
4,72.555284,7
16,72.555284,11
0,72.555284,6
0,72.555284,7
0,72.555284,8
4,72.750810,8
8,72.846748,6
1,72.846748,3
12,72.846748,7
3,72.846749,8
10,72.846749,6
0,73.27899,9
17,73.27899,9
18,73.27899,7
18,73.27899,8
14,73.203947,6
18,73.203947,9
3,73.203947,9
3,73.203947,10
4,73.486604,9
17,73.486604,10
15,73.486604,12
19,73.486604,12
13,73.486604,11
7,73.486604,5
7,73.486604,6
18,73.486604,10
5,73.486604,7
5,73.486604,8
16,73.486605,12
3,73.486605,11
1,82.38359,4
7,82.38360,7
5,82.82794,9
6,82.82794,5
8,82.187420,7
2,82.187420,6
3,82.374753,12
9,82.374753,6
15,82.374753,13
8,82.374753,8
18,82.374754,11
2,82.374754,7
14,82.374754,7
7,82.374754,8
17,82.374754,11
19,82.374754,13
2,82.388336,8
15,82.388336,14
18,82.388336,12
19,82.388337,14
9,82.388337,7
1,82.441045,5
4,82.441046,10
14,82.441046,8
17,82.441046,12
7,82.510486,9
7,82.510486,10
18,82.510486,13
15,82.510486,15
1,82.510486,6
1,82.510486,7
9,82.510486,8
11,82.561284,5
11,82.561284,6
11,82.561284,7
7,82.561285,11
7,82.561285,12
12,82.788372,8
1,82.788372,8
1,82.788372,9
11,82.788372,8
14,83.18899,9
14,83.204001,10
1,83.204001,10
7,83.204002,13
13,83.485622,12
5,83.485622,10
17,83.485622,13
7,83.485622,14
16,83.485622,13
4,83.485623,11
0,83.655321,10
17,92.40359,14
8,92.40359,9
4,92.67463,12
8,92.67463,10
12,92.67463,9
18,92.67463,14
1,92.67463,11
3,92.67464,13
9,92.67464,9
14,92.375770,11
4,92.375771,13
4,92.375771,14
12,92.375771,10
12,92.375771,11
19,92.375771,15
17,92.388336,15
4,92.388336,15
12,92.502486,12
12,92.502486,13
8,92.502486,11
8,92.502486,12
3,92.502486,14
14,93.41889,12
8,93.41890,13
3,93.206973,15
1,93.206973,12
14,93.206973,13
8,93.206973,14
8,93.206973,15
17,93.206973,16
4,93.206973,16
4,93.206973,17
7,93.656321,15
9,102.33367,10
11,102.68464,9
9,102.189429,11
13,102.379780,13
13,102.379780,14
13,102.383362,15
13,102.383362,16
11,102.556292,10
14,102.789372,14
1,103.19925,13
1,103.19925,14
9,103.19925,12
9,103.19925,13
19,103.205973,16
12,103.205973,14
12,103.205973,15
7,103.205973,16
13,103.205974,17
11,112.60471,11
6,112.60472,6
14,112.510512,15
1,112.762550,15
10,112.791380,7
12,113.21933,16
9,113.21934,14
1,113.21934,16
18,113.21934,15
18,113.205982,16
15,113.205982,16
14,113.654322,16
6,122.85837,7
6,122.85837,8
17,122.511530,17
