NodeId,Time,Size
10,51.420603,1
7,51.880322,1
12,52.76840,1
7,53.22081,0
10,53.164042,2
2,53.176644,1
0,53.372081,1
10,53.703195,3
16,53.712387,1
9,53.921114,1
4,54.579425,1
8,54.686305,1
10,54.914042,2
0,55.122817,2
10,55.172881,3
19,55.432033,1
12,55.812826,2
19,56.438516,2
2,56.489561,0
12,56.842876,1
12,56.962225,2
16,57.171401,2
9,57.332033,0
3,57.474795,1
16,57.477432,3
9,57.922675,1
11,58.298898,1
10,58.362104,2
10,58.362104,1
0,58.368068,1
11,58.449835,0
9,58.496060,2
10,59.73072,0
8,59.339754,0
9,59.341199,1
19,59.390991,1
16,59.400561,2
5,59.433940,1
9,59.530468,2
10,59.636016,1
16,59.649474,3
12,59.731809,3
12,59.731809,2
5,59.842092,2
16,60.65038,4
16,60.315038,3
5,60.582459,3
13,60.604596,1
11,60.605214,1
9,61.171114,3
16,61.472124,2
2,61.813112,1
2,61.964414,0
14,62.90054,1
0,62.313113,2
10,63.183359,0
16,63.491892,1
5,63.654322,2
5,63.840371,3
5,64.64414,4
0,64.143837,3
0,64.222177,4
19,64.224364,2
19,64.224364,1
19,64.315035,2
9,64.494426,4
8,64.563113,1
4,65.654322,0
16,65.654322,0
12,65.717337,1
0,66.86335,5
12,66.562826,2
9,66.990213,3
5,67.231603,3
4,67.983810,1
16,67.988330,1
5,68.566130,4
3,68.982265,0
3,69.174299,1
16,69.197134,2
18,69.321757,1
18,69.321757,0
1,69.419465,1
3,69.421757,2
14,69.708923,2
13,70.16782,0
6,70.18888,1
6,70.18888,0
0,70.745215,4
5,70.965802,3
5,70.965802,2
12,70.982700,1
10,71.164042,1
3,71.164979,3
3,71.319092,2
10,71.673928,2
0,71.745215,3
0,71.745215,2
12,71.812826,2
3,71.817405,1
0,71.860722,3
19,71.862298,1
10,71.914042,3
11,72.59141,2
5,72.261521,1
9,72.358513,4
9,72.361522,5
11,72.555903,3
14,72.746810,1
1,73.209939,0
10,73.229033,2
12,73.243161,1
13,73.350964,1
18,73.738134,1
18,73.738134,0
9,73.746810,4
9,73.746810,3
5,73.838134,2
13,73.862514,2
9,73.969924,2
1,74.63763,1
1,74.216381,0
18,74.244286,1
18,74.244286,0
12,74.562826,2
0,74.767606,2
3,75.226881,0
10,75.229033,1
0,75.233174,1
8,75.243161,0
16,75.247690,1
16,75.247690,0
1,75.379644,1
4,75.744672,0
12,75.819087,3
12,75.967636,2
19,76.66985,2
10,76.217513,2
11,76.298898,4
11,76.548898,3
12,76.562826,3
14,77.119066,0
4,77.812736,1
12,77.818232,2
12,77.818232,3
12,77.963763,2
19,78.322784,3
1,79.129321,0
10,79.217513,1
5,79.229877,1
2,79.234580,1
18,79.239829,1
1,79.240078,1
13,79.341303,1
12,79.817388,3
9,80.63478,1
17,80.174298,1
16,80.175282,1
11,80.345485,2
4,81.217338,0
19,81.227214,2
11,81.329073,1
11,81.363381,0
13,81.740246,0
9,82.3618,2
18,82.4268,2
11,82.48898,1
5,82.81508,2
19,82.178730,1
9,82.219161,1
19,82.313849,2
18,82.315184,3
12,82.761524,2
10,82.775193,0
10,82.878193,1
5,83.775987,3
5,83.775987,2
12,83.777943,1
7,83.862560,1
9,83.867396,2
16,83.909614,2
12,84.62826,2
0,84.502947,0
4,84.503571,1
4,84.503571,0
17,84.785350,0
2,85.376754,0
19,85.472337,1
19,85.472337,0
9,85.483363,1
16,85.621259,1
18,85.790554,2
4,85.814173,1
0,85.819949,1
7,85.854990,2
9,85.983576,2
4,85.988624,2
19,86.576152,1
5,86.861936,1
11,86.881628,0
0,87.121431,2
9,87.175676,3
5,87.578500,0
18,87.790554,1
18,87.890554,2
9,88.578347,2
9,88.578347,3
1,88.649803,0
10,88.678899,0
3,88.823110,1
13,89.350964,1
4,89.355290,1
9,89.426437,4
12,89.658060,1
0,89.702155,1
12,89.812826,2
9,89.927907,5
16,90.2552,0
19,90.202147,2
4,90.355290,0
0,90.778655,0
18,91.203147,1
9,91.214389,4
7,91.396230,1
7,91.396230,0
13,91.595638,2
0,91.596477,1
9,91.724392,3
0,91.768613,0
15,91.859455,1
7,92.103084,1
0,92.613424,1
5,92.617314,1
13,93.600964,3
7,93.624389,2
15,93.628657,2
14,93.652199,1
8,93.652817,1
19,93.766506,1
6,93.862470,1
15,93.908494,3
12,94.787951,1
9,94.811953,2
10,95.257467,1
7,95.725592,1
19,95.768595,0
13,96.191362,4
13,97.51708,3
13,97.51708,2
3,97.67546,0
15,97.80426,2
15,97.80426,1
