NodeId,Time,Size
10,51.420603,1
7,51.522081,1
0,51.523389,1
12,52.76840,1
9,53.72052,1
10,53.164042,2
2,53.176644,1
0,53.372081,2
5,53.394416,1
10,53.703195,3
16,53.712387,1
12,53.713764,2
5,53.723559,2
9,53.921114,2
4,54.579425,1
8,54.686305,1
10,54.914042,2
0,55.122817,3
10,55.172881,3
9,55.332033,3
19,55.432033,1
11,55.699835,1
12,55.812826,3
4,56.202859,2
19,56.438516,2
2,56.489561,0
12,56.842876,2
12,56.962225,3
16,57.171401,2
9,57.332033,2
0,57.372081,2
3,57.474795,1
16,57.477432,3
9,57.922675,3
10,58.362104,2
10,58.362104,1
0,58.368068,1
10,59.73072,0
8,59.339754,0
5,59.344025,1
19,59.390991,1
16,59.400561,2
5,59.433940,2
12,59.479617,2
10,59.636016,1
16,59.649474,3
12,59.731809,3
0,59.742092,2
5,59.842092,3
5,59.965661,4
16,60.65038,4
16,60.315038,3
5,60.582459,5
13,60.604596,1
11,60.605214,2
9,61.171114,4
16,61.472124,2
12,61.713763,4
0,61.716720,3
2,61.813112,1
14,62.90054,1
0,62.313113,4
10,63.183359,0
16,63.491892,1
5,63.654322,4
19,63.740372,2
5,63.840371,5
5,64.64414,6
0,64.143837,5
0,64.222177,6
19,64.224364,3
19,64.315035,4
12,64.463763,5
9,64.494426,5
8,64.563113,1
4,65.654322,1
16,65.654322,0
12,65.717337,4
0,66.86335,7
9,66.990213,4
5,67.231603,5
2,67.447029,0
16,67.886888,1
12,67.982700,5
4,67.983810,2
7,67.986609,2
19,67.988860,5
5,68.566130,6
3,68.982265,0
10,69.74299,1
3,69.174299,1
16,69.197134,2
18,69.321757,1
1,69.419465,1
3,69.421757,2
2,69.565630,1
9,69.609934,5
4,69.632926,3
14,69.708923,2
0,69.745215,8
7,69.964414,3
5,69.965802,7
6,70.18888,1
0,70.745215,7
3,70.852464,3
5,70.965802,6
5,70.965802,5
12,70.982700,4
10,71.164042,2
0,71.745215,6
0,71.745215,5
3,71.817405,2
11,71.857043,1
0,71.860722,6
19,71.862298,4
10,71.914042,3
5,71.985448,4
11,72.59141,2
4,72.263735,4
1,72.264982,2
9,72.358513,6
9,72.361522,7
11,72.555903,3
14,72.746810,1
18,73.209939,0
1,73.209939,1
10,73.229033,2
12,73.243161,3
1,73.737484,2
18,73.738134,1
9,73.746810,6
9,73.746810,5
5,73.838134,5
13,73.862514,2
1,74.63763,3
18,74.244286,2
12,74.562826,4
7,74.758353,2
0,74.767606,5
5,75.69923,4
3,75.226881,1
3,75.226881,0
10,75.229033,1
0,75.233174,4
8,75.243161,0
16,75.247690,1
16,75.247690,0
11,75.731543,4
4,75.744672,3
4,75.744672,4
18,75.794005,3
0,75.957740,5
19,76.66985,5
10,76.217513,2
11,76.298898,5
11,76.548898,4
4,76.762688,3
14,77.119066,0
11,77.712736,5
4,77.812736,4
12,77.818232,3
12,77.818232,4
19,78.322784,6
1,79.129321,2
10,79.217513,1
5,79.229877,3
2,79.234580,2
18,79.239829,4
1,79.240078,3
13,79.341303,1
0,79.754685,4
12,79.817388,5
9,80.63478,4
9,80.63478,3
17,80.174298,1
16,80.175282,1
11,80.345485,4
5,80.482198,4
1,81.160730,2
4,81.217338,3
19,81.227214,5
18,81.239829,3
4,81.256069,2
11,81.300765,3
11,81.329073,2
11,81.363381,1
11,81.731003,2
4,81.732570,3
13,81.740246,0
9,81.906822,2
9,81.906822,3
18,82.4268,4
19,82.178730,4
19,82.178730,3
12,82.218520,6
9,82.219161,2
19,82.313849,4
18,82.315184,5
1,82.761524,1
12,82.761524,5
10,82.775193,0
10,82.878193,1
4,83.485562,2
0,83.750895,3
13,83.775336,1
5,83.775987,5
