NodeId,Time,Size
10,51.420603,1
7,51.880322,1
12,52.76840,1
0,52.189350,1
13,52.189351,1
6,52.189351,1
2,52.189351,1
8,52.189351,1
16,52.189351,1
15,52.189351,1
7,53.22081,0
10,53.164042,2
2,53.176644,2
12,53.240162,2
13,53.240162,2
2,53.240162,3
6,53.240162,2
0,53.372081,2
2,53.489561,4
3,53.489561,1
6,53.489562,3
10,53.703195,3
16,53.712387,2
9,53.921114,1
4,54.579425,1
8,54.583305,0
0,54.623977,1
8,54.686305,1
10,54.914042,2
0,55.122817,2
10,55.172881,3
19,55.432033,1
12,55.812826,3
19,56.438516,2
2,56.489561,3
3,56.826371,0
12,56.842876,2
16,56.959349,1
12,56.962225,3
2,57.121608,2
16,57.171401,2
9,57.332033,0
3,57.474795,1
16,57.477432,3
9,57.922675,1
11,58.298898,1
10,58.362104,2
10,58.362104,1
0,58.368068,1
11,58.449835,0
9,58.496060,2
10,59.73072,0
8,59.339754,0
9,59.341199,1
19,59.390991,1
16,59.400561,2
3,59.427303,2
5,59.433940,1
0,59.479616,2
13,59.479617,3
2,59.479617,3
9,59.530468,2
10,59.636016,1
16,59.649474,3
12,59.731809,2
5,59.842092,2
16,60.65038,4
16,60.315038,3
15,60.339921,2
9,60.351342,3
3,60.351342,3
19,60.351342,2
5,60.582459,3
13,60.604596,4
11,60.605214,1
9,61.171114,4
6,61.227061,2
3,61.351342,2
16,61.472124,2
2,61.964414,2
6,62.81759,1
13,62.81759,5
14,62.90054,1
0,62.183359,3
8,62.183359,1
0,62.313113,4
15,62.447029,3
13,62.447029,4
13,62.447029,5
18,62.447029,1
9,62.472125,3
15,62.512443,4
19,62.512443,3
13,62.512443,6
11,62.512444,2
4,62.558266,2
15,62.558266,5
17,62.558266,1
16,62.558266,3
19,62.558266,4
14,62.558266,2
13,62.558266,7
18,62.746810,2
13,62.746811,6
0,62.788337,5
10,63.183359,0
14,63.207921,3
16,63.207921,4
18,63.207921,3
15,63.207921,6
3,63.484569,3
19,63.484569,5
15,63.484569,7
16,63.491892,3
19,63.654321,6
17,63.654321,2
0,63.654321,4
15,63.654321,6
6,63.654322,2
4,63.654322,3
5,63.654322,2
5,63.840371,3
5,64.64414,4
19,64.224364,5
9,64.494426,4
15,64.654321,5
15,64.654321,4
14,65.207921,2
4,65.654322,2
4,65.654322,1
16,65.654322,2
12,65.717337,1
19,65.726594,4
0,66.86335,5
12,66.562826,2
9,66.990213,3
5,67.231603,3
4,67.983810,2
16,67.988330,3
5,68.566130,4
3,68.982265,2
16,69.197134,4
18,69.321757,2
1,69.419465,1
6,69.535667,1
14,69.708923,3
13,69.770298,5
13,69.805501,4
13,70.16782,3
6,70.18888,0
0,70.745215,4
5,70.965802,3
5,70.965802,2
18,70.975315,1
12,70.982700,1
10,71.164042,1
3,71.164979,3
3,71.319092,2
10,71.673928,2
0,71.745215,3
0,71.745215,2
12,71.812826,2
3,71.817405,1
13,71.823554,2
0,71.860722,3
19,71.862298,3
10,71.914042,3
9,72.32367,4
18,72.32367,2
15,72.32367,5
7,72.188359,1
5,72.261521,1
9,72.361522,5
1,72.380319,2
8,72.380753,2
8,72.450029,3
7,72.450029,2
17,72.507443,3
0,72.507443,4
15,72.507443,6
11,72.555903,3
14,72.746810,2
17,72.746811,4
13,72.746811,3
7,72.785337,3
18,73.209939,3
15,73.209939,5
1,73.209939,1
19,73.222518,2
10,73.229033,2
12,73.243161,1
8,73.243161,4
4,73.245725,1
13,73.246031,2
13,73.246031,1
13,73.350964,2
15,73.492578,6
19,73.492578,3
11,73.492579,4
5,73.659321,2
4,73.659321,2
19,73.659322,4
18,73.738134,2
9,73.746810,4
9,73.746810,3
5,73.838134,3
13,73.862514,3
9,73.969924,2
1,74.63763,2
1,74.216381,1
18,74.244286,1
12,74.562826,2
4,74.659321,1
15,74.659322,5
0,74.767606,3
17,75.224288,3
17,75.224288,2
3,75.226881,0
10,75.229033,1
15,75.230442,4
15,75.230442,3
0,75.233174,2
19,75.233174,3
11,75.233480,3
8,75.243161,3
16,75.247690,3
16,75.247690,2
14,75.257446,3
15,75.257446,4
7,75.257952,2
1,75.379644,2
4,75.744672,0
12,75.819087,3
12,75.967636,2
10,76.217513,2
11,76.298898,4
11,76.548898,3
12,76.562826,3
8,76.713353,2
15,76.749097,3
14,77.119066,2
14,77.119066,1
19,77.264070,2
15,77.749097,2
7,77.753352,1
4,77.812736,1
12,77.818232,2
12,77.818232,3
12,77.963763,2
19,78.322784,3
1,79.129321,1
16,79.132644,1
