NodeId,DetectionTime,SelfishNodeId
10,52.240425,+0
10,53.740425,+13
9,54.61147,+16
10,54.240425,+2
0,55.313438,+10
10,55.740425,+6
10,56.240425,+12
10,57.240425,-2
10,57.991897,-0
10,57.991897,-6
0,58.239545,-10
10,59.561731,-13
10,59.811731,+2
9,60.241447,-16
0,62.126736,+3
0,62.478550,+15
10,62.811731,-2
7,63.561444,+12
10,64.720357,-12
10,65.990425,+12
12,66.228264,+3
10,66.490425,+2
3,67.993248,+12
4,70.131953,+17
11,70.588981,+13
9,70.871111,+3
3,71.150143,-12
16,72.337653,+9
12,72.846731,-3
4,73.166705,-17
15,73.207904,+3
18,73.488569,+3
9,74.61147,+18
7,74.85765,-12
10,74.182248,-2
18,74.206109,-3
11,74.338981,+19
0,74.493495,-3
0,74.493495,-15
14,74.561433,+18
9,75.75184,-3
11,75.498456,-19
16,75.507970,-9
9,75.816682,+15
10,76.94460,-12
15,76.97230,-3
8,76.228550,+3
12,76.728264,+2
13,77.859648,+11
12,78.228264,+3
4,78.562910,+18
9,80.311147,+3
14,81.191778,-18
9,81.311147,-15
11,81.482990,-13
10,81.990425,+12
13,82.25416,-11
2,82.319119,+12
12,82.381319,-2
12,82.381319,-3
3,82.496296,+12
15,82.503280,+18
4,83.199912,-18
9,83.200219,-3
10,84.240425,+2
2,84.565993,+1
10,85.240425,-12
2,85.565993,-12
9,88.61147,-18
3,88.210357,-12
15,88.231992,-18
1,88.340247,+9
2,89.12263,-1
9,89.113572,+15
8,89.236248,-3
9,90.61147,+3
13,92.109648,+5
9,92.384753,-15
9,92.384753,-3
9,93.113712,+15
1,93.398943,-9
13,96.190957,-5
10,96.240425,-2
9,97.138521,-15
0,99.812382,+13
7,101.311444,+16
7,101.811444,+13
4,102.589918,+15
7,103.217404,-16
9,104.311147,+17
4,105.654824,-15
7,105.811434,+17
0,106.21939,-13
9,106.212735,-17
11,106.338981,+15
18,108.311434,+4
18,109.369104,-4
11,109.390247,+18
7,109.439082,-13
9,110.61147,+17
7,110.462658,-17
9,111.683991,-17
11,113.758507,-18
11,113.758507,-15
9,113.811147,+17
