NodeId,Time,Size
10,51.420603,1
7,51.880322,1
12,52.76840,1
7,53.22081,0
10,53.164042,2
2,53.176644,1
0,53.372081,1
10,53.703195,3
16,53.712387,1
9,53.921114,1
4,54.579425,1
8,54.686305,1
0,55.122817,2
10,55.172881,4
19,55.432033,1
12,55.812826,2
19,56.438516,2
16,57.186409,2
16,57.322702,1
0,57.636630,3
16,57.671401,2
8,59.128250,2
9,59.171114,2
9,59.329568,1
14,59.671400,1
4,59.799835,2
4,59.951263,1
12,60.69531,3
7,60.423704,1
2,60.696518,2
7,61.121144,2
18,61.183129,1
19,61.651757,3
11,62.548898,1
19,63.616105,4
11,63.699835,0
11,64.48898,1
11,64.199835,0
0,64.495723,4
11,64.548898,1
11,66.61478,2
12,66.63611,4
3,68.977237,1
10,69.164042,5
10,69.414042,6
12,69.859777,5
3,69.934854,2
13,71.76970,1
3,71.217682,3
0,71.239795,5
19,73.122054,5
0,74.784885,6
4,78.66618,2
11,78.298898,3
4,79.715418,3
4,79.715418,2
4,79.804298,3
11,79.809430,4
4,80.767529,2
11,80.870591,5
11,81.718530,4
4,81.824743,3
5,82.49184,1
5,82.563421,2
12,82.620716,6
18,82.637081,2
17,82.827563,1
5,82.843303,3
0,82.862654,7
15,82.949633,1
1,83.689177,1
1,83.689177,0
5,84.922983,4
5,84.922983,3
0,84.926864,8
0,84.926864,7
12,85.734283,5
18,85.823914,3
12,86.79023,6
1,86.81406,1
12,86.219753,5
1,86.563125,2
12,88.562826,6
18,91.418626,4
8,91.444014,3
2,91.459258,3
4,91.673933,4
9,91.921114,2
14,93.181748,2
7,93.684813,3
12,94.887971,7
18,94.901136,5
7,95.245604,4
5,95.719787,2
11,95.804459,5
11,95.951824,4
17,97.370995,2
7,97.530165,5
7,97.530165,4
0,97.531492,8
0,97.531492,7
12,98.640671,8
7,99.403995,5
13,101.395875,2
9,103.177239,3
11,103.804459,5
4,104.355569,5
9,107.189903,4
4,107.201740,6
18,107.568414,6
18,108.218199,7
18,108.218199,6
4,108.223059,7
4,108.223059,6
4,108.228197,7
18,109.950486,5
2,109.965298,4
18,110.485159,6
19,111.413695,6
9,111.414313,5
11,111.798898,6
8,112.168221,4
13,114.1901,3
13,114.1901,2
1,114.101251,3
9,115.152927,4
4,115.177834,8
10,115.672996,7
17,115.767148,3
11,116.221456,7
7,116.229079,6
2,116.346196,5
11,118.505552,6
7,118.508643,7
7,118.508643,6
11,118.578835,7
4,118.620808,9
4,118.620808,8
9,118.621431,5
9,118.621431,4
4,118.634848,9
19,119.124111,7
19,119.124111,6
10,119.414042,8
10,122.718604,9
11,123.798898,8
17,124.896636,4
18,126.74699,7
12,131.131057,9
10,134.371494,10
10,134.371494,9
3,134.485102,4
10,139.414042,10
12,140.392664,10
7,141.636528,7
10,143.164042,11
9,144.683575,5
13,147.271499,3
13,147.271499,2
6,147.364868,1
13,147.600964,3
6,153.615931,2
14,154.363474,3
15,154.428119,2
13,155.850964,4
8,157.308004,5
1,158.321598,4
1,163.439177,3
10,163.729632,12
15,163.774914,3
15,163.955652,4
13,164.100964,5
10,173.833400,13
10,173.833400,12
4,173.965515,10
4,173.965515,9
11,174.548898,9
5,179.18582,3
18,181.357619,8
18,181.357619,7
5,182.67255,4
2,183.176644,4
1,183.537930,4
8,188.33751,6
8,188.33751,5
8,188.127913,6
4,188.130352,10
7,189.529851,8
7,189.529851,7
0,190.174437,8
2,190.299558,5
16,190.300177,3
18,191.204454,8
9,191.322051,6
9,191.322051,5
8,193.324225,7
2,193.324225,6
19,193.616105,5
6,199.167387,3
13,201.76970,4
4,203.583093,11
4,203.583093,10
11,203.798898,10
0,204.495723,7
11,207.4235,9
5,207.7554,5
5,207.7554,4
4,207.8802,9
4,207.127324,10
4,207.817313,11
5,208.549834,5
14,209.778668,4
14,209.778668,3
1,209.778668,5
8,209.885041,8
4,209.963174,12
4,209.963174,11
0,209.968762,8
0,209.968762,7
1,210.5565,4
1,211.252552,5
1,211.252552,4
9,212.898389,6
19,213.122054,4
13,213.600964,5
13,213.754260,4
10,213.885906,13
10,213.885906,12
16,213.913331,4
16,213.913331,3
10,213.975540,13
16,214.3775,4
18,215.823914,7
12,216.63611,9
9,216.827820,7
9,216.827820,6
2,216.913854,7
5,217.87062,6
5,217.99224,7
8,217.99843,9
9,217.220607,7
9,217.220607,6
13,217.227665,5
9,217.327336,7
18,221.183129,6
10,221.664042,12
8,223.192311,8
8,223.537643,9
1,223.555260,5
0,223.638798,8
0,223.803915,7
8,223.940257,8
