NodeId,Time,Size
7,51.712381,1
0,51.714149,1
10,51.996986,1
10,52.498450,2
9,53.811147,1
10,53.995750,3
15,54.341445,1
10,54.499049,4
10,56.2157,5
3,57.152954,1
10,57.240425,4
10,57.991897,3
10,57.991897,2
0,58.239545,0
10,59.991897,1
9,60.239852,0
11,61.55729,1
4,61.177071,1
12,61.283825,1
11,62.88981,2
0,62.122809,1
19,62.164464,1
15,64.487569,0
8,65.396545,1
0,65.574020,2
7,65.811444,2
9,66.618708,1
4,68.478584,0
19,68.532746,0
10,68.551888,2
4,68.595707,1
11,68.723917,1
11,68.723917,0
0,68.726915,1
12,68.727735,0
11,69.685896,1
13,69.859648,1
0,69.998238,0
11,70.100347,2
13,70.272453,2
5,70.368964,1
3,70.552010,2
8,70.560463,0
16,70.597427,1
13,71.521895,3
4,71.524312,2
10,71.565719,1
4,71.589407,1
7,71.593310,1
3,72.791337,1
3,73.484579,0
11,73.495349,1
16,73.661322,0
11,73.661322,0
7,74.484578,0
18,74.779933,1
13,75.484578,2
4,75.486140,0
1,75.627968,1
18,75.628592,2
4,75.727968,1
2,76.337342,1
9,76.462084,2
5,76.518200,0
10,76.681416,0
3,77.593232,1
9,77.962083,3
4,78.719904,0
9,79.470745,2
9,79.470745,1
2,80.521301,2
8,80.522025,1
13,80.743335,1
10,80.994021,1
3,81.52107,2
9,81.480836,0
9,81.811147,1
4,82.11771,1
9,82.235211,2
11,82.338981,1
4,82.849481,2
18,84.19882,1
9,84.767869,1
10,84.836732,0
3,85.316162,1
18,86.19882,0
4,86.323419,1
0,86.591144,1
11,86.750964,2
5,86.751614,1
13,86.868008,2
16,86.868313,1
0,86.966524,2
7,87.212382,1
16,87.311731,2
4,87.718637,0
17,87.984733,1
3,87.989311,2
1,88.868750,2
2,88.898491,1
11,88.989057,1
7,89.317990,2
9,89.811147,2
7,89.815736,3
13,89.868008,1
3,89.919684,1
0,90.221803,1
9,90.226045,3
4,90.317849,1
16,90.561731,1
1,90.915430,1
2,91.23775,0
17,91.229045,0
4,91.445436,2
9,91.482024,2
4,93.267521,1
4,93.267521,2
9,93.628661,1
0,93.657329,0
7,93.657329,2
11,93.989919,2
13,95.290497,0
0,95.475141,1
9,95.811147,2
9,97.61147,1
3,99.219958,0
11,100.88981,3
5,100.489597,0
7,100.515467,1
11,102.558249,2
16,104.493596,0
7,105.76336,0
9,105.713413,0
11,105.757507,1
9,105.813413,1
9,105.962084,2
14,106.61433,1
9,106.504234,3
1,107.121483,2
18,107.990569,1
2,108.73590,1
18,108.627674,2
9,110.16905,2
14,110.50429,0
12,110.358594,1
4,111.261634,1
2,111.362084,0
