NodeId,Time,Size
10,51.996986,1
10,52.498450,2
12,53.240162,1
13,53.240162,1
6,53.240162,1
0,53.317631,1
0,53.464109,0
9,53.811147,1
10,53.995750,3
0,54.63773,1
15,54.341445,1
10,54.499049,4
10,56.2157,5
3,57.152954,1
13,58.246787,2
6,58.257004,2
12,58.257004,2
11,61.148446,1
4,61.177071,1
12,61.283825,3
16,62.63463,1
9,62.63463,2
19,62.63464,1
0,62.63464,2
18,62.63464,1
6,62.82759,3
17,62.82759,1
11,62.88981,2
19,62.164464,2
2,62.186351,1
8,62.186351,1
13,62.186351,3
0,62.450028,3
8,62.450029,2
13,62.450029,4
19,62.450029,3
2,62.450029,2
5,62.509443,1
15,62.509443,2
19,62.509443,4
13,62.509443,5
17,62.788337,2
0,62.788337,4
15,62.788337,3
4,62.788337,2
6,62.788337,4
16,62.788337,2
14,63.200904,1
18,63.200904,2
15,63.200904,4
3,63.200904,2
5,63.200904,2
0,63.200905,5
7,63.239188,1
12,63.239188,4
7,65.811444,2
10,68.551888,6
4,68.595707,3
11,69.685896,3
13,69.859648,6
11,70.100347,4
16,70.597427,3
4,71.859935,4
4,72.64517,5
14,72.64517,2
5,72.79993,3
17,72.502460,3
17,72.502460,4
0,72.502460,6
0,72.502460,7
15,72.502460,5
5,72.502460,4
16,72.502460,4
16,72.502460,5
19,72.502460,5
19,72.502460,6
18,72.502460,3
3,72.502460,3
0,72.551249,8
7,72.791337,3
8,73.245196,3
7,73.484578,4
7,75.550280,5
17,76.544513,5
9,78.311147,3
10,81.47429,7
9,81.811147,4
1,82.62463,1
11,82.338981,5
15,82.388319,6
1,82.388319,2
18,82.388319,4
4,82.388320,6
1,82.441045,3
8,82.441046,4
9,82.441046,5
14,82.441046,3
12,82.441046,5
11,82.489919,4
7,82.529793,6
7,82.558250,7
11,82.838981,5
1,83.209930,4
3,83.209930,4
17,83.209930,6
11,83.991295,4
2,86.569032,3
11,86.588981,5
13,86.868008,7
16,86.868313,6
3,87.989311,5
1,88.868750,5
9,89.811147,6
7,89.815736,8
9,89.962085,5
9,90.317198,6
4,91.541005,7
11,92.338981,6
17,92.383753,7
9,92.383753,7
15,92.383753,7
4,92.383754,8
12,92.383754,6
19,92.383754,7
18,92.383754,5
17,92.385319,8
15,92.507456,8
8,92.507456,5
17,92.507456,9
1,92.507456,6
3,92.507456,6
4,92.628661,9
0,92.747819,9
13,92.747820,8
14,93.21899,4
3,93.206939,7
1,93.206939,7
8,93.206939,6
17,93.206939,10
15,93.206939,9
0,95.475141,8
9,95.811147,8
11,96.588981,7
11,96.739919,6
11,100.88981,7
7,102.374753,9
13,102.374754,9
14,102.374754,5
19,102.507486,8
12,102.507486,7
9,102.622660,9
12,102.622661,8
1,102.622661,8
8,102.622661,7
15,102.622661,10
18,102.622661,6
12,102.786336,9
1,102.786337,9
8,102.786337,8
13,103.25898,10
19,103.200947,9
14,103.200947,6
12,103.200947,10
7,103.200947,10
9,105.962084,8
14,106.61433,7
9,106.504234,7
4,106.839919,10
4,107.995551,9
2,108.73590,4
4,108.340569,10
11,110.88981,8
2,111.362084,5
3,112.31359,8
15,112.83820,11
18,112.83820,7
14,112.449055,8
10,112.501240,8
4,112.503542,11
9,112.504495,8
14,112.504495,9
14,112.629661,10
10,112.629661,9
9,112.869342,9
15,113.10727,12
18,113.24899,8
15,113.24899,13
19,113.24899,10
19,113.208956,11
4,113.208956,12
17,113.208956,11
13,120.320353,9
1,120.356748,8
1,120.419463,9
9,122.81820,10
13,122.378770,10
14,122.512512,11
12,122.629669,11
9,123.24898,11
15,123.199956,14
11,123.199956,9
6,123.199956,5
3,124.989042,7
3,125.89874,8
3,125.648998,7
10,126.490425,10
19,127.643233,10
1,129.230282,10
19,130.16754,11
9,131.813932,12
13,131.820721,11
10,132.37367,11
10,132.510512,12
6,133.200973,6
7,133.200973,11
10,136.429509,11
6,140.396763,7
10,141.740425,12
9,142.842758,13
6,143.202973,8
6,147.915418,9
3,151.740711,8
12,152.39367,12
10,152.63480,13
4,152.146367,13
17,152.510521,12
16,162.384780,7
16,162.386319,8
11,162.510521,10
11,163.200973,11
4,163.200973,14
2,163.200973,6
14,163.246231,12
12,163.246231,13
15,172.295358,15
16,172.623678,9
8,177.463675,9
16,177.467028,10
12,182.59489,14
19,182.87820,12
17,182.384327,13
6,182.514091,10
18,182.622678,9
2,182.622678,7
0,182.836757,9
5,183.207973,5
9,183.246231,14
16,183.491597,11
8,185.479995,10
2,185.688578,8
4,186.508459,13
4,186.518282,14
4,186.527988,13
4,186.532527,14
16,186.605231,12
0,187.633393,10
10,187.990425,14
11,192.88981,10
0,192.388345,11
16,192.502530,13
6,192.502530,11
0,192.502530,12
18,192.502530,10
18,192.502530,11
18,192.502530,12
5,192.502530,6
5,192.502530,7
8,192.502530,11
18,192.556249,13
5,192.753846,8
5,193.245240,9
4,193.245240,15
5,193.488604,10
2,193.488605,9
0,195.574020,11
0,197.250461,10
0,197.264318,9
7,197.325846,12
7,197.471936,11
7,199.311444,12
18,201.28,14
10,201.79973,15
6,202.507530,12
18,202.844758,15
5,203.316727,11
11,205.989919,9
4,206.89919,16
5,206.188904,10
16,206.269413,12
10,206.391361,14
5,206.490711,11
11,206.838981,10
11,208.338981,11
1,209.536759,9
11,211.296359,10
5,211.297009,10
5,211.313800,9
19,212.78811,13
19,212.78811,14
5,212.78811,10
0,212.78811,10
16,212.78811,13
16,212.78811,14
0,212.502539,11
17,212.511581,14
19,212.555275,15
0,212.555275,12
16,212.555275,15
10,212.555275,15
14,212.555275,13
11,212.602731,11
18,213.239240,16
16,214.497670,14
11,214.500415,12
11,214.512257,11
11,214.739918,10
11,216.338981,11
4,216.610563,17
13,216.868008,10
16,216.868313,13
17,217.984733,13
11,219.297960,10
16,219.397961,14
0,222.86766,13
14,222.86766,14
11,222.166250,11
19,222.504547,16
8,222.561275,12
11,222.751846,12
0,223.378022,12
2,224.924772,10
13,224.924772,11
9,225.129739,13
19,226.140,15
2,226.6513,11
18,226.66319,17
3,227.989311,7
1,229.729459,8
8,229.815982,13
14,230.991450,15
10,231.22048,16
18,231.23212,18
1,231.229729,9
11,231.296726,11
4,231.312449,16
18,231.313101,17
18,231.395256,18
1,232.34376,10
0,232.34376,13
3,232.63490,8
2,232.63490,12
3,232.379788,9
13,232.379789,12
14,232.379789,16
2,232.447054,13
19,232.507547,16
7,232.507547,13
5,232.976721,11
4,233.17925,17
5,233.486596,12
2,234.43648,14
2,236.486048,13
13,238.20739,11
13,238.359648,12
7,239.464058,12
0,239.465746,12
7,239.811444,13
7,239.962382,12
4,240.520267,16
11,240.739919,10
2,241.26745,12
2,241.118238,13
7,241.311444,13
7,241.463095,12
3,241.866789,10
11,242.31385,11
7,242.61444,13
0,242.62382,13
13,242.68489,13
14,242.78802,17
0,242.767542,14
11,242.767542,12
1,242.840783,11
3,242.840783,11
1,242.986271,12
11,243.21934,13
7,243.212382,12
0,243.213769,13
16,243.662356,15
15,243.662356,16
4,244.340895,17
4,244.497469,16
4,244.839919,17
0,247.229752,12
3,247.905851,10
17,248.781629,14
3,248.793315,11
13,250.825777,12
11,251.941822,14
7,251.942440,13
7,251.963360,12
9,252.58573,14
2,252.383380,14
3,253.240231,12
14,253.767890,16
1,259.230282,11
13,260.260585,11
6,261.618604,13
14,261.859935,17
14,262.11236,16
17,262.32394,15
8,262.32394,14
1,262.32394,12
3,262.32394,13
7,262.32394,13
10,262.86820,17
3,262.86820,14
13,262.260586,10
0,262.379397,13
0,262.382797,14
9,262.842801,15
6,264.829203,12
7,264.924344,14
3,265.740711,15
13,271.820721,9
2,272.39402,15
1,272.78811,13
6,272.78811,13
9,272.558284,16
4,272.841099,18
8,272.842800,15
0,272.842800,15
17,272.842800,16
