NodeId,DetectionTime,SelfishNodeId
10,52.240425,+0
10,53.740425,+13
9,54.61147,+16
10,54.240425,+2
0,55.313438,+10
10,55.740425,+6
10,56.240425,+12
4,61.178766,+17
12,61.283825,+3
0,62.122809,+3
8,65.398013,+12
7,66.61444,+12
9,66.618708,+3
10,68.551888,+7
4,68.634122,+15
11,69.685896,+6
13,70.109648,+15
11,70.338981,+13
3,70.553705,+16
16,70.607902,+17
5,71.621895,+17
4,72.109935,+5
15,73.205912,+3
2,76.562084,+12
10,81.47429,+8
3,81.52107,+12
9,82.61147,+17
18,82.188351,+3
4,82.849481,+13
0,86.850964,+17
16,87.561731,+13
0,89.563587,+13
7,90.61434,+1
9,90.317198,+4
4,90.317849,+3
17,93.206939,+3
7,93.761329,+13
9,96.61147,+12
11,100.338981,+15
14,106.311433,+17
2,108.321452,+17
18,108.839268,+15
2,111.362084,+10
9,112.869342,+7
15,113.118727,+18
4,115.316956,+12
4,118.389150,+14
1,120.422361,+9
9,120.430211,+15
10,127.740425,+14
9,132.311147,+6
19,132.510512,+13
9,132.567038,+11
10,138.240425,+17
10,141.990425,+15
12,143.658356,+4
17,143.658356,+12
13,143.859648,+17
3,145.749450,+15
3,151.990711,+13
13,155.866583,+12
15,162.443064,+12
4,174.606360,+6
11,176.88981,+19
1,177.467633,+13
4,186.536055,+8
16,186.608459,+6
16,186.718887,+8
8,186.719995,+4
17,192.388345,+4
0,195.921491,+8
18,195.995574,+8
7,197.325846,+18
7,199.561444,+5
7,202.61444,+4
4,202.379354,+9
16,206.251648,+1
5,211.392238,+11
5,212.339268,+6
11,212.494731,+14
4,212.860671,+18
0,214.619405,+6
4,216.610563,+2
10,219.47987,+11
11,219.51674,+5
16,219.403156,+19
10,222.240425,-0
8,222.751845,+1
6,223.245240,+11
9,224.61147,-16
10,224.240425,-2
8,225.226434,+9
0,225.313438,-10
2,226.14712,+19
8,229.815982,+14
18,231.404973,+19
14,231.728022,+18
19,232.164464,-13
5,233.226721,+0
18,236.444720,+14
9,238.61147,+8
2,238.118542,+3
11,240.338981,-13
3,240.553705,-16
16,240.607902,-17
13,241.605800,+2
5,241.621895,-17
4,242.109935,-5
17,242.505640,+2
1,243.226721,+11
10,243.740425,-13
18,244.779933,-3
11,245.456932,+1
4,246.93411,+7
8,250.920047,+3
9,252.61147,-17
1,253.653356,+2
7,256.61444,-12
0,256.850964,-17
16,257.561731,-13
7,260.61434,-1
13,260.109648,-15
6,261.861236,+3
10,262.32394,+0
7,262.86820,+1
2,262.138134,+14
4,262.849481,-13
2,263.204973,+8
14,263.663347,+2
7,263.761329,-13
7,264.928439,+14
3,265.992964,+14
14,266.18733,+13
2,266.562084,-12
4,268.634122,-15
0,269.311731,+17
0,269.563587,-13
11,270.338981,-15
4,271.541005,-9
10,272.374796,+2
4,273.664088,+19
0,275.815737,+13
7,276.117804,+8
14,276.311433,-17
2,278.321452,-17
2,281.362084,-10
15,283.118727,-18
11,286.88981,-19
10,286.240425,-12
4,288.389150,-14
7,289.561444,+13
7,290.61444,+6
12,290.358594,-4
2,292.786337,+10
4,295.316956,-12
3,295.749450,-15
10,297.740425,-14
18,298.839268,-15
10,301.47429,-8
4,301.184578,-17
6,302.134770,+9
2,302.379398,+9
9,302.567038,-11
15,302.759524,+14
9,302.869342,-7
8,305.402714,-12
9,306.61147,-12
9,306.561147,+5
10,308.551888,-7
10,311.990425,-15
15,314.341445,-3
10,318.240425,-17
12,321.283825,-3
13,323.859648,-17
9,336.618708,-3
3,341.96366,-12
3,341.990711,-13
15,342.295358,-14
13,345.866583,-12
4,346.546345,-8
1,347.467633,-13
11,349.685896,-6
9,350.317198,-4
4,350.337582,-3
2,356.569032,-8
17,356.695897,-4
1,360.437639,-9
4,364.606360,-6
18,365.995574,-8
0,369.311731,-17
7,369.561444,-5
9,370.458636,-15
7,372.61444,-4
9,372.311147,-6
0,375.815737,-13
16,376.251648,-1
8,377.463675,-1
5,381.392238,-11
0,382.122809,-3
0,384.619405,-6
0,385.921491,-8
7,389.561444,-13
5,392.339268,-6
11,392.494731,-14
8,395.226434,-9
