NodeId,Time,Size
10,51.996986,1
10,52.498450,2
0,53.317631,1
0,53.464109,0
9,53.811147,1
10,53.995750,3
0,54.63773,1
15,54.341445,1
10,54.499049,4
10,56.2157,5
3,57.152954,1
10,57.240425,4
10,57.991897,3
10,57.991897,2
0,58.239545,0
10,59.561731,1
10,59.561731,2
9,60.241447,0
0,62.126736,1
12,62.137527,1
12,62.137527,0
0,62.235100,2
10,62.811731,1
7,63.311444,1
10,64.720357,0
12,64.978264,1
10,65.747370,1
10,66.252555,2
4,66.857205,1
9,67.811147,1
11,70.132632,1
10,70.240425,3
11,70.345647,2
10,70.391362,2
3,71.150143,0
13,71.609648,1
10,71.740425,3
13,71.760586,0
18,71.817403,1
10,71.927767,2
16,72.306027,1
2,72.313730,1
12,72.846731,0
4,73.166705,0
9,73.811147,2
7,74.85765,0
11,74.88981,3
10,74.182248,1
18,74.206109,0
14,74.311433,1
0,74.493495,1
0,74.493495,0
12,74.889088,1
12,74.889088,0
8,74.986079,1
9,75.75184,1
9,75.75184,2
11,75.498456,2
16,75.507970,0
0,75.625331,1
13,75.859648,1
13,76.10586,0
10,76.94460,0
15,76.97230,0
12,76.480469,1
2,76.533482,0
12,76.981710,2
13,77.609648,1
4,78.315312,1
11,78.382241,1
0,79.10905,0
9,80.61147,3
14,81.191778,0
9,81.311147,2
2,81.429254,1
11,81.482990,0
2,81.737573,0
10,81.741990,1
13,82.25416,0
2,82.62084,1
10,82.245467,2
3,82.255992,1
15,82.302919,1
12,82.381319,1
12,82.381319,0
10,82.396297,1
4,83.199912,0
9,83.200219,1
9,83.310891,2
10,83.992986,2
8,84.110415,2
19,84.113658,1
19,84.229243,2
18,84.229861,1
2,84.312084,2
10,85.240425,1
2,85.565993,1
9,86.61147,3
9,88.61147,2
9,88.194455,3
3,88.210357,0
19,88.218944,1
8,88.231992,1
15,88.231992,0
1,88.328427,1
12,88.339992,1
2,89.12263,0
8,89.236248,0
9,89.811147,4
19,90.218944,0
18,91.679520,0
13,91.870210,1
9,92.384753,3
9,92.384753,2
9,93.113712,3
1,93.398943,0
9,94.113712,2
18,95.203876,1
4,95.204480,1
13,96.190957,0
10,96.240425,0
9,97.138521,1
0,97.639920,1
0,97.716691,0
12,98.145032,0
18,98.145032,0
0,99.574090,1
7,100.61444,1
4,100.947960,0
7,101.561444,2
2,102.337676,1
4,102.339918,1
2,102.506035,0
9,103.22890,0
7,103.217404,1
9,104.61147,1
7,104.572009,2
4,105.654824,0
4,105.654824,1
0,106.21939,0
18,106.64516,1
11,106.88981,1
9,106.212735,0
18,106.212735,0
15,107.133967,1
18,108.61434,1
18,109.369104,0
11,109.390247,2
7,109.439082,1
4,109.654982,0
18,109.710073,1
9,109.811147,1
7,110.462658,0
7,110.587494,1
9,111.683991,0
2,112.147132,1
9,112.561147,1
7,113.376771,2
11,113.758507,1
11,113.758507,0
15,113.761324,0
12,114.140932,1
12,114.140932,0
18,114.232187,2
9,114.311147,0
9,114.311147,1
7,115.450706,1
7,117.450339,0
18,117.464962,1
1,118.564411,1
13,118.619790,1
13,118.693953,2
18,119.296801,0
17,120.828629,1
1,121.575161,0
7,122.593213,1
9,122.618707,2
9,123.814492,1
9,123.814492,2
17,123.827006,0
13,124.7313,1
12,125.117615,1
9,125.117864,3
7,126.19837,0
2,127.803495,0
13,128.218658,0
9,128.229154,2
13,130.917954,1
10,130.920850,1
13,131.613973,2
4,131.871703,1
13,132.366193,3
12,135.770657,0
10,137.618617,2
13,141.816160,2
9,144.657545,1
13,145.240161,1
13,145.362598,2
10,145.436776,1
10,145.436776,0
10,145.536776,1
11,145.879405,1
13,146.545530,1
4,148.557042,0
11,149.213956,0
13,150.359648,2
6,152.124820,1
6,153.860586,2
13,154.362209,3
10,155.263160,0
13,155.263160,2
6,155.509905,1
6,155.619142,2
8,158.282995,1
1,158.309087,1
4,158.341984,1
1,158.349896,0
13,159.182691,1
9,160.194997,0
9,160.320708,1
8,161.726434,2
6,162.230915,1
4,162.230915,0
10,162.372902,1
13,163.609648,2
13,164.119465,3
1,164.976721,1
9,165.468802,0
3,165.626224,1
13,165.636208,4
10,165.740425,2
10,166.107689,3
10,166.490425,4
8,167.42205,1
8,167.611071,2
10,167.740425,3
4,168.245287,1
10,169.142936,2
10,169.753608,3
10,169.891362,2
3,169.995474,2
10,170.240425,3
10,171.740425,4
13,172.446036,3
10,173.317701,3
10,173.317701,2
13,174.220952,2
6,174.248179,0
4,174.322303,2
11,174.588981,1
3,174.659338,1
10,175.331358,1
13,175.363212,3
1,175.367545,2
4,175.967847,1
11,176.91543,2
8,176.382753,1
10,176.405323,0
3,176.506543,0
10,176.603305,1
13,177.609648,4
13,178.859648,3
13,180.28162,2
18,180.82389,1
11,180.445269,1
10,180.646032,0
1,180.656596,1
1,181.651756,0
10,181.740985,1
10,185.645193,0
4,186.381691,0
13,190.518160,1
18,192.191252,0
9,192.315708,1
8,193.199938,0
9,195.133691,0
13,195.323466,0
11,200.445269,0
8,204.251270,1
0,207.314158,1
0,207.464658,0
0,207.814594,1
0,207.965105,0
8,208.530417,0
11,212.338981,1
7,212.865210,1
0,213.312382,1
11,213.490561,0
7,213.811444,2
7,213.965254,1
4,214.93791,1
4,214.250855,0
4,214.592571,1
9,215.569682,1
7,216.965254,0
4,217.842531,0
4,218.122321,1
4,219.64057,2
4,219.64057,1
0,219.153710,2
0,219.162048,1
18,219.232772,1
18,219.311731,2
11,220.338981,1
4,221.64057,0
4,221.193120,1
0,221.743541,0
4,222.340844,2
18,222.508451,1
11,222.588981,2
9,222.620460,2
18,224.558853,0
8,224.982119,1
4,225.399153,1
4,225.399153,0
5,225.485710,1
9,225.511905,1
11,225.564393,1
8,225.726434,2
11,226.893348,0
11,227.32686,1
11,227.128673,0
5,228.53504,2
14,228.64772,1
12,228.728264,1
8,228.995862,3
0,228.996121,1
8,229.127372,2
0,229.128022,0
5,230.59863,1
8,230.127372,1
1,230.978673,1
2,231.43332,1
5,231.59863,0
12,231.76102,2
2,231.141652,0
11,231.243186,1
8,231.332040,2
0,231.480066,1
9,232.61147,2
11,232.599887,2
11,232.739919,1
1,233.892565,0
11,234.88981,2
11,234.289263,1
8,235.26556,3
5,235.42554,1
0,235.379327,0
9,235.749549,1
9,236.61147,2
12,236.76102,1
1,237.239948,1
8,237.378688,2
10,237.827004,1
18,237.839201,1
10,237.974544,0
14,238.346432,2
10,238.541730,1
3,238.557627,1
4,238.561057,1
11,238.600480,2
14,238.712667,3
11,238.838981,1
8,238.961229,1
11,239.47646,2
10,239.313207,2
7,239.561444,1
10,239.645595,1
14,239.648736,2
4,240.79201,2
12,240.509237,0
9,240.561708,3
8,240.965341,0
3,241.43064,2
1,241.518751,0
9,241.971521,2
7,241.979317,0
14,242.33623,1
5,242.42554,0
11,242.72172,3
14,242.126417,2
2,242.127041,1
14,242.236335,3
4,242.311731,1
11,242.806219,4
11,242.812703,3
11,242.831595,4
11,242.833223,3
11,242.845834,4
2,242.866645,2
14,242.912703,4
0,242.923425,1
4,242.938732,2
18,243.84776,0
7,244.372554,1
14,244.592181,5
4,244.962721,1
0,245.220347,0
11,245.348886,3
1,245.558399,1
9,245.561147,1
8,245.563656,1
0,245.572272,1
3,245.578831,3
2,245.579450,3
0,245.713629,0
4,245.962721,0
1,246.101384,2
11,246.588981,4
9,246.611708,2
14,247.520661,4
14,247.520661,3
9,247.611708,1
9,247.827331,2
11,248.100007,5
3,248.640712,2
3,248.640712,1
0,249.312382,1
0,249.463629,0
1,249.652219,1
1,249.652219,0
7,249.656141,0
11,249.661769,4
9,250.93049,3
2,250.743034,2
11,251.80678,5
11,251.80678,4
11,251.147366,5
7,251.311444,1
0,251.434652,1
7,251.462382,0
0,251.574666,2
3,251.656140,0
